Año,Ingresos por año en miles de dólares,Porcentaje de crecimiento,Crecimiento promedio,Porcentaje de crecimiento acumulado
2013,58560546.0,,26.183458888990188,
2014,72607710.0,23.987419789426134,26.183458888990188,23.987419789426134
2015,85950000.0,18.375858431563262,26.183458888990188,42.3632782209894
2016,107676433.0,25.277990692262954,26.183458888990188,67.64126891325236
2017,138536546.0,28.660043929947054,26.183458888990188,96.30131284319941
2018,166694340.0,20.325173979723733,26.183458888990188,116.62648682292314
2019,231880240.0,39.10504699799646,26.183458888990188,155.7315338209196
2020,308729960.0,33.141987432823086,26.183458888990188,188.8735212537427
2021,443035884.0,43.5027180387676,26.183458888990188,232.3762392925103
2022,457544825.0,3.27489070840139,26.183458888990188,235.65113000091168
